54|8.922915|UDP(UDP)|50580 \xe2\x86\x92 443 Len=679|192.168.1.244:50580|108.177.8.189:443|721|4a2aef3ed2f7b06a669ed324ff1f07665dd51dffdb1732c7e1778c2ab44bf4e199cf1f47366295f1440e62dfbfaab3f9f67fda3c039df89b01a5dfd109f2ab6fc9a74437999eb744910401edee4eabca6e6d6aaea24b27b2fbb7a1592080515d3b335508f9dcf2449e1b8fcab79cbeb02c23163a53d3e9b8f2075984e707e4098b98bf90fab7de5b48c686317ce4ece93846e591ebfd04f066043c10557c038ab0ea12af488ae90860ef9b6a470c3ba093693886f2cea768adb86f31169dbdd971305c97fec21c1ca6082c44b2e2acc9b0e1e2210503920e1d484a0aac266f578225380d440e78b08928368f3e4481412c54e7c66fb6f5b74489bb6fb2dd8e837e1ba0aea6ca11d5e20212c65a1f3de12d9782b1086e871f99031642621733b8c7436ac40bde2ca94a5cdb44ce0a3be62b84f80891cb24a69da377a79715ec485ab8563d47a795a9b8b5ba5308690e66ff7345e2ce83ee300a0328a737286905f9704aea8b1d9ba4d2a8e5a5bf661cfa8a5eff181df525592fae1ca1fb540d010b24bb9b01c93e142eeb41f01f267ff1b2e0b359ff7eea6882d4d7ef38d885fbce446cc55f0b5549ce3571946235e390025a0d03780d7e2c09b5aa3ddf8c38e2b1b78b1d6aec61c33ccf827f2775151a40a2555c3103f622313b4b30abfab25b35c60f62677976d66777534e9091beaa18d7e5eca5e8438ef97a5bf1c9eb376cda455def4b35cf18087864b76f7903400984d527b05872868e16d2809257fd2212647bc48ec475ca64eb22fc0705eecec58380b34f4a0de5acdbae096c9ae5fbaffc533ecffd70c9545e6f5af6943975c99e51e6b0805c2c84d64f1389f24135bc13e97117a5753943c34700ce7a9e53b358db0f48589ef2f861432926de54cdbfd907a3e30d856458745583cfb21bdf72ceae390efcc36457f4775ba087a15e5cb698a3e20f72
56|8.924884|UDP(UDP)|55547 \xe2\x86\x92 443 Len=33|192.168.1.244:55547|216.58.193.142:443|75|593a8f3c14e785c4ff1d1115bfe94e0a55875b8a74890827534343fdc20256a67d
57|8.932638|TCP(TCP)|56777 \xe2\x86\x92 5228 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0|192.168.1.244:56777|172.253.127.188:5228|54|
58|8.936381|UDP(UDP)|443 \xe2\x86\x92 50580 Len=30|108.177.8.189:443|192.168.1.244:50580|72|51480707df83422891c9ba8e2cd5b55d88e630336832a45f11251df5d7b5
59|8.936826|UDP(UDP)|443 \xe2\x86\x92 50580 Len=30|108.177.8.189:443|192.168.1.244:50580|72|4c268555a53c5eee3802e8c3c47cdb011198b9cfaa336ca010d6ef59877b
60|8.94764|UDP(UDP)|443 \xe2\x86\x92 50580 Len=201|108.177.8.189:443|192.168.1.244:50580|243|4042a32e9c4077935a5405e739e7f24a8e835e3aecedf8fddab45fdabf252bedba7517766ab1e3a027a114bfb5f404037d52f61fd5a836f9bfbc1dcdedaea7bbbcee44094754fc5308ef82f3f2af65c15d0472159b6d12da91ba8aca90f3fdb1aca7bf15056878e350c82f662b39ee575ff80093eb59e8dee8e5ab27693cd1471fdb5aee63084c3e5107086ebcddcd215c6a15f6ddd591ab6030d642f0daa97e34b33251ad926c4676c5117a87d957e5f93db11bd019399967a6c5e084cd859fb22c0903dfc23f79d7
61|8.947938|UDP(UDP)|443 \xe2\x86\x92 50580 Len=54|108.177.8.189:443|192.168.1.244:50580|96|5e56521844d928b5950883940f80f7c522c815342b6d50eac2312087bd49f7a2f8426c0691c62cc1499e6af6dbd4e49fe62947d15628
62|8.947938|UDP(UDP)|443 \xe2\x86\x92 50580 Len=60|108.177.8.189:443|192.168.1.244:50580|102|49513e1f730b26cbb380ca5945a82f4bb438a5a2cffb0010d27da967b94d880b01c405de95d0334686fed050d923351d3aa00fcd551fd06c7f418f2c
63|8.948706|UDP(UDP)|50580 \xe2\x86\x92 443 Len=36|192.168.1.244:50580|108.177.8.189:443|78|422aef3ed2f7b06a66901366849068ed465473c0ba22776578e91f1dd297b8b50339c950
64|8.950488|TCP(TCP)|5228 \xe2\x86\x92 56777 [ACK] Seq=1 Ack=2 Win=255 Len=0|172.253.127.188:5228|192.168.1.244:56777|60|00007866d7fc
65|8.952718|UDP(UDP)|50580 \xe2\x86\x92 443 Len=36|192.168.1.244:50580|108.177.8.189:443|78|512aef3ed2f7b06a66b4d326eb0e48059cd782369eff9664ac41c48e96e0bd574d89a5a4
66|8.958198|UDP(UDP)|443 \xe2\x86\x92 55547 Len=25|216.58.193.142:443|192.168.1.244:55547|67|510fffec0f6d77763b0dbe27ae212f50aa04b2631dc84cf5f2
67|8.961394|UDP(UDP)|443 \xe2\x86\x92 50580 Len=44|108.177.8.189:443|192.168.1.244:50580|86|4ce0a044096645732d217986766dc010ce7e196daab39ce3630e04e6f907bff299e341e8638d178933934e16
68|8.965681|UDP(UDP)|50580 \xe2\x86\x92 443 Len=36|192.168.1.244:50580|108.177.8.189:443|78|512aef3ed2f7b06a660df1412bbfdf31f036dc3bf73688a36cbd4e3a7c958a14b64a34f7
69|9.134728|TLSv1.2(TCP)|Application Data|192.168.1.244:56768|52.202.62.217:443|89|170303001e23a41fe4da960d251956b508f431839b011abeb938bf85e0931589f75345
70|9.177294|TLSv1.2(TCP)|Application Data|52.202.62.217:443|192.168.1.244:56768|85|170303001a749c0a1a1501e1b5d67f3196ae103c84570cf9e261c2b0d6f141
74|9.344085|DNS(UDP)|Standard query 0x6f6d A wpad.attlocal.net|192.168.1.244:63592|192.168.1.254:53|77|6f6d010000010000000000000477706164086174746c6f63616c036e65740000010001
75|9.355916|DNS(UDP)|Standard query response 0x6f6d No such name A wpad.attlocal.net SOA localhost|192.168.1.254:53|192.168.1.244:63592|133|6f6d858300010000000100000477706164086174746c6f63616c036e65740000010001c0110006000100000e10002c096c6f63616c686f7374000a706f73746d6173746572c02f777369b100000e100000070800093a8000000e10
76|9.377808|TCP(TCP)|56768 \xe2\x86\x92 443 [ACK] Seq=36 Ack=32 Win=509 Len=0|192.168.1.244:56768|52.202.62.217:443|54|
84|9.692535|MDNS(UDP)|Standard query 0x0000 ANY DESKTOP-LBSUNMF.local, "QM" question|192.168.1.244:5353|224.0.0.251:5353|81|0000000000010000000000000f4445534b544f502d4c4253554e4d46056c6f63616c0000ff0001
