42|0.323361|TCP(TCP)|[TCP segment of a reassembled PDU]|52.230.222.68:443|192.168.1.244:57952|1514|1603030f850200005103035eb0df4c3e4f06a00aba43e5ce95219506cf908db5efa074b8c7dd889f93bcd520d01e0000b34655c2f9b2f595fd581ae881d531a675ace41481e4b5ca92923c7dc02f00000900170000ff010001000b000dfc000df900083b308208373082061fa00302010202137800109b6ccad0f6709fdef420000000109b6c300d06092a864886f70d01010b050030818b310b3009060355040613025553311330110603550408130a57617368696e67746f6e3110300e060355040713075265646d6f6e64311e301c060355040a13154d6963726f736f667420436f72706f726174696f6e31153013060355040b130c4d6963726f736f6674204954311e301c060355040313154d6963726f736f667420495420544c532043412034301e170d3230303231343138333633385a170d3232303231343138333633385a301c311a301806035504030c112a2e776e732e77696e646f77732e636f6d30820122300d06092a864886f70d01010105000382010f003082010a0282010100b1c48ed6998fa9faebf3f647b36e4d6c51776509a5a08e5edb3be2385ddd4319a9ae41780ab3f8088b406f9259bec2e83273d2ea856a107df7142b20442f156970351a08014c3379dce7c2d98ff072577e12c1d874a84fc3d98c9dac49f08b0f8f46bece4598f045550158fb321c7a5cf60eb70dc3f981bc5d63823ff228c1b1bf2be39027ba485d00618f5a4b170a8c73e24b477a01a8f9203a3b931788fb7a14f8a8da4b406d1531bc8a379178165c2f62b550d6168da39e8e30858ca7b835e9aa50b76a54399f1e022f78b23a09bee225909f21162e87c62d707d25b5601a587ae4f433bd449abfc5cde197a0a5a16f1d210f880a50deb036ed91550d62a90203010001a3820400308203fc3082017f060a2b06010401d6790204020482016f0482016b0169007600a4b90990b418581487bb13a2cc67700a3c359804f91bdfb8e377cd0ec80ddc1000000170450641530000040300473045022100a4393c40bf292acda17f70072e6d47d7ac57aeb9c533d984c43525a098dd76f102202a25288b41f0221d197bbb215bd606436505eef7a63fe5cdebf09fcf84921f640076005581d4c2169036014aea0b9b573c53f0c0e43878702508172fa3aa1d0713d30c00000170450642ae000004030047304502201e4ae4dcf9c1ea32da6a059f76fe726023d13dbcd7ac7fb11631ade6f3abc342022100becdb607b0de3c76dab744f76367e78ff76a3e1e50d2203c34fa1287cc54a14700770041c8cab1df22464a10c6a13a0942875e4e318b1b03ebeb4bc768f090629606f6000001704506416b0000040300483046022100cfe58c1515cf6dd5ad8cc138c94c97efc7dc03b8aba8d6987c6071fc30596008022100ea5ce77f722594b4018e27cbcc712b124f0bbbe5cec321cb822d11ed0b0f484e302706092b060104018237150a041a3018300a06082b06010505070302300a06082b06010505070301303e06092b06010401823715070431302f06272b060104018237150887da867583eed90182c9851b81b59e6185f4eb60815d84d2df4282e7937a02016402011d30818506082b0601050507010104793077305106082b060105050730028645687474703a2f2f7777772e6d6963726f736f66742e636f6d2f706b692f6d73636f72702f4d6963726f736f66742532304954253230544c532532304341253230342e637274302206082b060105050730018616687474703a2f2f6f6373702e6d736f6373702e636f6d301d0603551d0e0416041482fbb97712396bfaaee91c96d3e3deb7d9abf061300b0603551d0f0404030204b0301c0603551d110415301382112a2e776e732e77696e646f77732e636f6d3081ac0603551d1f0481a43081a130819ea0819ba08198864b687474703a2f2f6d7363726c2e6d6963726f736f66742e636f6d2f706b692f6d73636f72702f63726c2f4d6963726f736f66742532304954253230544c532532304341253230342e63726c864968
43|0.323528|TCP(TCP)|443 \xe2\x86\x92 57952 [PSH, ACK] Seq=1461 Ack=181 Win=8012 Len=1460 [TCP segment of a reassembled PDU]|52.230.222.68:443|192.168.1.244:57952|1514|7474703a2f2f63726c2e6d6963726f736f66742e636f6d2f706b692f6d73636f72702f63726c2f4d6963726f736f66742532304954253230544c532532304341253230342e63726c304d0603551d2004463044304206092b0601040182372a013035303306082b060105050702011627687474703a2f2f7777772e6d6963726f736f66742e636f6d2f706b692f6d73636f72702f637073301f0603551d230418301680147a7b8cc1cfe7a0ca1cd46bfafbe133c30f1aa29d301d0603551d250416301406082b0601050507030206082b06010505070301300d06092a864886f70d01010b05000382020100495e4868351909dc6a3648e9dd857c9e291571a7262c34076ec99353c730b2603a8db8ff13b15b430137bb1502958f2264166636864f305148daf602f9e331181dbd0903db152aaa117b8e92bb6e1e3b243eeef889a49bcc649bc952c9bf345158290c54fd022a1079435b5801e8f4cd23114d8420c12d84618213e00be62ff7802e46b47e2d488c0a34b9ecf76d8b18097edf7fefbc70b1cfc83fb941c7856a50115661c807ef684aa7cc453bfec7b57ee1509e7de2ea7a4c1675401af61800d35f7992950d1aa1fe3ee7508412911a2bb56954ace1b40575906f40b162751f282eca5fa23c4c7e52952efd093e5a5e4c232bf162c5477d51aa8880a7302014b2ba62a817dc59c094c78e8a371c4f94507ae687d313fdeb353bd5e4d60a8a3c04a0fd6a1573ba8ca3aebf5a98982ee892619723950630c9ef24d38ec7449a4fc17977e47e76b7766b5c226b35d23b242603788febb00a5e76a62bac8e9f7c99cd1df8e7de6b87a017ac9bbe7bf833cd9714908dc3df78eeca1401c85114b07be79143fe61a946cde4bbf2f5b3f3e557abdc4b7588cb507ceeb7c4f1652ae6bf9d6edf25f0b2068daa2dd8640627bc90a1ff239b4de47eb9ddfa9d105fdeed28dbaf710d65cc08a0a673785c34308068028b5bf8c99ee73479c63592661821a08676dd08ee72e3e2c3635903c6af3a37c4ad4ab9cb735bac7f781ac4f8e5bad50005b8308205b43082049ca00302010202100b6ab3b03eb1a9f6c460926aa8cdfeb3300d06092a864886f70d01010b0500305a310b300906035504061302494531123010060355040a130942616c74696d6f726531133011060355040b130a43796265725472757374312230200603550403131942616c74696d6f7265204379626572547275737420526f6f74301e170d3136303532303132353233385a170d3234303532303132353233385a30818b310b3009060355040613025553311330110603550408130a57617368696e67746f6e3110300e060355040713075265646d6f6e64311e301c060355040a13154d6963726f736f667420436f72706f726174696f6e31153013060355040b130c4d6963726f736f6674204954311e301c060355040313154d6963726f736f667420495420544c53204341203430820222300d06092a864886f70d01010105000382020f003082020a0282020100abe5eb5da36b399ef5348812bb1d52265d7d090bc6798eabb70edf19b2ddee0ff6eef456e446e2920fe2670be31c71a4d44173b4cb99168ebf777db0af1e6ced712ec308774a5e92aeec5ad04881d0c5e9a0f57a8f1e8d5ed3ad92c0dac691353120b93904cd102a3c971d009e99181809cf4b97e4c9fc00f00c5a9d36e8b240c14aac8428aa3d46182ba78aacf4af4ba87e4942c76220c0e6a73b5deb901fbb8ad89c90e33ab16cc294ce3e326bcb71b3412eb9c5e15dd8592782fbe1480d7ee804f1f9012741fa945a7dc530bbb6bad7119b88fa01cc6e4b92b9f8783ccb9c689a166688d093b02a832e97111d7e812061e4b0b99b9c6e53959522c6d9bd7510bad9758c3c3f1dd096f833457b7b1f5433e54897a70524a2dbd1dc95ae202a7d9689487b927ad024b1de4811f7673cb4dff85860f54f7b3468e6fdac2608b6f32c43db4fc416d09b0c7187b1076b86dd8fa0b1fb66dad8cbe9f2f065e58ed81cea2fba2d64f15ed01b50b20c
44|0.323529|TLSv1.2(TCP)|Server Hello, Certificate, Server Key Exchange, Server Hello Done|52.230.222.68:443|192.168.1.244:57952|1112|854acf3bc82e2a6a758cc0ae5cd9e9c07c7d7cda9ce3bd4ab06007822b7d5dc810af2e628cdc9afde1d9b9594897421ac350810b1f83226be49bbc292282fd80515c755f0e35c2dd7f2f7a679f3d8e5b8cbbaf9df4cc0cfba81f9d21c1f3e7521a5dce14576d50b849eeb10b27d2e26927126ec6c0263ee7a42b1b8b533806fa1a873ae04b7f99164e593d5969f171a765651b0203010001a38201423082013e301d0603551d0e041604147a7b8cc1cfe7a0ca1cd46bfafbe133c30f1aa29d301f0603551d23041830168014e59d5930824758ccacfa085436867b3ab5044df030120603551d130101ff040830060101ff020100300e0603551d0f0101ff04040302018630270603551d250420301e06082b0601050507030106082b0601050507030206082b06010505070309303406082b0601050507010104283026302406082b060105050730018618687474703a2f2f6f6373702e64696769636572742e636f6d303a0603551d1f04333031302fa02da02b8629687474703a2f2f63726c332e64696769636572742e636f6d2f4f6d6e69726f6f74323032352e63726c303d0603551d200436303430320604551d2000302a302806082b06010505070201161c68747470733a2f2f7777772e64696769636572742e636f6d2f435053300d06092a864886f70d01010b0500038201010011fe72063a210a376ec8f5292202629e450eedfa069fefbf9e243517fe3988b2bb01e178dfd18b97fdb777f18a724f493ae8b329d77487e4b9f317608788925582bdd97d13487f06903a8966e79d96f795cd600fd7e1caf676eefa9b3548a1987dd2932a4f8116c7a896bbd125f3a66f50da009b2aa8f43500e3fd2c3bede5159b7f160fc78ec9362094f01d01b91250509981e028422c8e78ffedc69ed5e4cae9a0aab3484fa45fe48b18ff13022d9011361866283a229ade95f159ee9f6d2a17759350c30512d5de64b4b6bcdbd77659fea5d6e556e1fe465c3b8af8ec0efbef129091ce201281ba3c52e37fe340f40c4120668718da3269e0f6dc8f28f2bd0c00012803001d20da527cc1b5640ec2a5db6692a238e05db4f2a9e1d65c116984fe17641a22a85a040101005b9263088d0cbcfd4997d9bd9e067ab89e7eefb79ebc64f959646f461fdd147499047e91291be8c69fc6696aad2bc66b65bc4da15030e896fdd0b99c319a3e5c8d2ca3f04f1f8af62c7e43a84a5c4017337f4abd0aa13f4fde424b068fb57b67b27c94a6e31903181489c381ff90cd0d3b384e97b4cca9beee6255d6fb67e7721a395bba4bb7f2764e4279a86dbb51522cbec420c352008f71d5f8b756a78d4a45d074f261ab8826f1ab9f3e65a66a4d8a5813acb5ae0f5f585745438884c3ca9b74ff4543738471b20ebb40b568e7225951cd0f7a529eb1f885f625b6becd684f73fa3ece3121f460da85292987dcd3c6fcd888cf54817b166216a0df7034110e000000
45|0.323606|TCP(TCP)|57952 \xe2\x86\x92 443 [ACK] Seq=181 Ack=3979 Win=132352 Len=0|192.168.1.244:57952|52.230.222.68:443|54|
46|0.326745|TLSv1.2(TCP)|Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message|192.168.1.244:57952|52.230.222.68:443|147|160303002510000021203b0c0281e99bd256df9b766d6349df16daa7fc96572e5a69094d3eca062fc259140303000101160303002800000000000000009eeb6d7f6799278fbbbb58e09849aee62a605cf43908d2e1afb247936e85cf58
47|0.357715|TLSv1.2(TCP)|Change Cipher Spec, Encrypted Handshake Message|52.230.222.68:443|192.168.1.244:57952|105|140303000101160303002800000000000000003c6693699cdad9e8c721bb57c1468767090d78fd456029bf1e406b5e2e22ffc6
48|0.359236|TLSv1.2(TCP)|Application Data|192.168.1.244:57952|52.230.222.68:443|314|17030300ff000000000000000168b3822ec88a05738a1465db1641c3e3510f7e0b518e0b63245760d6661ddeca3eb298334665f2a525bf7b6bacf79d82c1e46e4a832c8e304508941d1c11e739d6c1b50375f41adfd701216b62e976d683a59966c73bfbefc2053e8cfb82b76f48a9f84cc460c1bc6167eff8c59a40e8a9de9fa9f2b288751587e432101dd154a5b0793f6815c46d1834e0668707c7e935d43f012a254cccc8beabf2c4d6d564fcccc34ab2084f8441420bd13c34e51ae47d567ca47a15337eca0fdbf6b61c82302dd06ca96403568096de28c6a3a75c6ad0f33569437478a2b37b870a77456382c4c907245894abbcf238dd13774359facc786d4fe122
49|0.390206|TLSv1.2(TCP)|Application Data|52.230.222.68:443|192.168.1.244:57952|324|17030301090000000000000001dbb62e3511829b42c0b5e67ccf6d671d27068e38041a80453fb70858e001568fe7c0f2565e3035e39104c37dd16ee5388eb1873edbd199e5456d5e9608a6356e19286034ccb221a7346c37bd1347d126b260ed1a0b18db95e71ab753544addf90181833ced900c18a96da6344de53d83ece7730c74b103e8407197ee7315a1f1f5f047e28025d6deb8bf6c46d8f71d22f09e4fc9ff41e5b9a8d50843cdd1c6a288616bf43f9c19335a65c3599ee97070b433ff9bd5885cd05e7e3de9a2dcd9aa38a1d2c1a1bad5a1d410c63c1f5a4af30acbb1537f1fb0750c73d1cc93808581a169b5ef96f1c268f5ed59caa64acdeee290505e27f361013f8941dd5d910ef607
50|0.39134|TLSv1.2(TCP)|Application Data|192.168.1.244:57952|52.230.222.68:443|1084|170303040100000000000000026e0c0492dcaf1290ca26dc5f0a47a400492c77200c9dd26913b93deb9f93e27718619ac80956cebe83ae5a6d177f5b3e43a1967ca941721d840774f17de3f3ffdcd200330da5cc00149d6a56afcf7cd0d89e7186567a857a32185c16c2e591906453794b20cdef7ed05e6059ec14885fae516e081e376ca6a769b12b1f52a41cc0040b632236946d469271625bf1b18c8402083d0b723fdf4fb7e9b65eec203fbe4dc4566a2dbfc3bdad1f8d7509a2a2f98b7da6938504a14f0b8b520e6ab467a9a58ebc62f7e09572edebff9c32453340e95a59d72be22853b9c7fa110c7b4e06346ae2e6db187d5f7aef28e19306a0c2e15f96df54ecc5b743a2353cbe24cac1df921ffed497dd181c7d968bfd9701cc9cd485134b3e120f3dda5ac5fdbe671942cd903bbce8ba5e21bbb6b6acb3fb5326c352d1a89542a4e1b19c53244a5959886c6fa626739ce871a7a014665c0c0ef2a5ea34348a3a8b2372f5c584bd7267b36fda10c753737777c0b7aab1d894d6acec2cacd214aec302b8c507960ab0fc044377668d84de23be7332f7516c8c7fa7e691a29061b052280771bfbd2cb210a010a0c70c7d2f854a2f44e3b7732b636de025b37bc3ddd78a708ac4ea3fa466311e8839b27f089e1a1dcbb8658a2efdcb76ce23a11580eb747b8f5f6d611f24c02bf8a12090d224f907f1080140e6c54df549181511d951686762fba7866e0c01d62faa6bb17da2502726a4337b9b49bd9b1f4cadb738290377a8ecece68c987793c80569500a444954504ff9f08cecfe13e54d0024abd144ae7a418cceb204ed09ab4d7f20844e54165d6800481e13121e315f82f1d2a10dab8a018c12ec5ebe335a69bb17d3828c62d1893e934b8781056f5b4bb19cc6d78d88d9041ee52e3b69c0d4b3b235a8eb0f412e0c984ab5f9fbdf02fe0c4a341e2faf4044726aa8b98ea0ed451efe9da81f5fbb96c79370458b0b2adcf613597e25aab35c787fd2d2ec3628ff585993565bf52533467cef3602702d81ff8e66e33e649567185643b99444513337887985b4a2eb2104bb9ba36a1702f8879c759d841c3ff4069aca0d68c2756ac3213eea47deed03accc3ae68743a92699f0cc5072fe7d083e9b85101fda749ae51b6bea16a19d5a569cf81a493954e22246a639a368969a73d0b752f24e0a816e11c34fe5aa068eae12152c1866ebae3ac572690b48230e68097e2e0a49db7bc234db77a696a8f5a99ce48406c7f82816c16856ff91bee987dee56e489c23dff9a35f88b446412398ba3372df6d92bc9d934b245f965ca05cf7a78abcc23a979a1f55f18394f161d904b32a27bb37035790fd9544ccd992acd3e52c89ce8e1276667628f42ff128c7610f36a9263ecf093d542ffcdf3b8292743b079e2eeb53ed52897ea4e44c331df700207afe2eb3ea8ae5
53|0.426745|SSDP(UDP)|NOTIFY * HTTP/1.1 |192.168.1.82:46433|255.255.255.255:1900|579|4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a43414348452d434f4e54524f4c3a206d61782d616765203d20313830300d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e38323a313430302f786d6c2f6465766963655f6465736372697074696f6e2e786d6c0d0a4e543a2075726e3a736368656d61732d75706e702d6f72673a6465766963653a5a6f6e65506c617965723a310d0a4e54533a20737364703a616c6976650d0a5345525645523a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a55534e3a20757569643a52494e434f4e5f39343946334544363532393030313430303a3a75726e3a736368656d61732d75706e702d6f72673a6465766963653a5a6f6e65506c617965723a310d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a582d52494e434f4e2d424f4f545345513a2034310d0a582d52494e434f4e2d574946494d4f44453a20310d0a582d52494e434f4e2d56415249414e543a20320d0a484f555345484f4c442e534d415254535045414b45522e415544494f3a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e2e7764362d585f4368324b4f484b3330456c4876420d0a0d0a
